분류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,구글코드
코스피,신라교역,004970,어로 어업,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출",1976-06-30,12월,"박준형, 배삼철, 정필영",http://www.sla.co.kr,서울특별시,KRX:004970
코스피,신풍제지,002870,"펄프, 종이 및 판지 제조업","마닐라판지 제조,도소매",1976-06-30,12월,정동원,http://www.shinpoongpaper.com,경기도,KRX:002870
코스피,종근당홀딩스,001630,기타 금융업,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",1976-06-30,12월,이병건,http://www.ckd-holdings.com,서울특별시,KRX:001630
코스피,크라운해태홀딩스,005740,기타 금융업,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매",1976-06-30,12월,윤석빈,http://www.crown.co.kr,서울특별시,KRX:005740
코스피,한독,002390,의약품 제조업,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",1976-06-30,12월,"김영진, 김철준",http://www.handok.co.kr,서울특별시,KRX:002390
코스피,SG충방,001380,자동차 신품 부품 제조업,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매",1976-06-29,12월,이의범,http://www.sgchoongbang.com,충청남도,KRX:001380
코스피,SK케미칼,006120,화학섬유 제조업,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",1976-06-29,12월,"최창원, 김철, 박만훈",http://www.skchemicals.com,경기도,KRX:006120
코스피,샘표,007540,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",1976-06-29,12월,박진선,http://www.sempio.com,서울특별시,KRX:007540
코스피,흥아해운,003280,해상 운송업,"해상운송(일본항로,동남아항로)",1976-06-29,12월,"이윤재, 박석묵(각자대표이사)",http://www.heung-a.co.kr,서울특별시,KRX:003280
코스피,GS글로벌,001250,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,허세홍,http://www.ssytrade.co.kr,서울특별시,KRX:001250
코스피,금호산업,002990,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",1976-06-26,12월,"박삼구, 서재환 (각자 대표이사)",http://www.kumhoenc.com,전라남도,KRX:002990
코스피,삼부토건,001470,토목 건설업,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조",1976-06-26,12월,남금석,http://www.sambu.co.kr,서울특별시,KRX:001470
코스피,삼화콘덴서공업,001820,전자부품 제조업,콘덴서(축전기) 제조,1976-06-26,12월,황 호 진,http://www.samwha.com,경기도,KRX:001820
코스피,페이퍼코리아,001020,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매",1976-06-26,12월,박건표,http://www.papercorea.co.kr,전라북도,KRX:001020
코스피,동양,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘,비내화모르타르 제조/건축공사/상사,운송사업/고령도 판매/관광레저업",1976-06-25,12월,"백의현, 박재병(각자대표)",http://www.tongyanginc.co.kr,서울특별시,KRX:001520
코스피,한화,000880,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",1976-06-24,12월,"최양수, 이태종, 김연철, 이민석",http://www.hanwhacorp.co.kr,서울특별시,KRX:000880
코스피,JW중외제약,001060,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,"한성권, 신영섭",http://www.jw-pharma.co.kr,서울특별시,KRX:001060
코스피,영풍,000670,1차 비철금속 제조업,"제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역",1976-06-12,12월,"이강인, 박영민",http://www.ypzinc.co.kr,서울특별시,KRX:000670
코스피,백광산업,001340,기초 화학물질 제조업,"가성소다,합성염산 제조,판매",1976-06-10,12월,김성훈,http://www.pkic.co.kr,전라북도,KRX:001340
코스피,성창기업지주,000180,회사 본부 및 경영 컨설팅 서비스업,"베니아합판,특수합판,마루판,바티칼보드,비금속광물(비타일,그라비아) 제조",1976-06-02,12월,우인석,http://www.sce.co.kr,부산광역시,KRX:000180
코스피,한창,005110,기계장비 및 관련 물품 도매업,"소화기, 통신장비 유통",1976-06-01,12월,최 승 환,http://www.hanchang.co.kr,부산광역시,KRX:005110
코스피,삼화왕관,004450,기타 금속 가공제품 제조업,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출",1976-05-28,12월,"고병헌, 고기영(각자대표)",http://www.samhwa.co.kr,경기도,KRX:004450
코스피,KR모터스,000040,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,"성상용, 서정민 (각자 대표이사)",http://www.krmotors.com,경상남도,KRX:000040
